Bib;Result
17;2:08:09.0
16;2:08:09.3
44;2:08:09.6
24;2:08:09.9
18;2:08:10.8
23;2:08:10.8
26;2:08:11.0
29;2:08:11.3
48;2:08:11.9
34;2:08:12.2
37;2:08:12.3
21;2:08:12.5
54;2:08:29.5
35;2:09:09.6
43;2:09:17.6
66;2:09:29.1
31;2:09:29.4
55;2:09:29.5
56;2:09:49.6
49;2:10:05.8
39;2:10:06.0
38;2:10:44.9
99;2:11:25.5
95;2:11:43.5
52;2:11:44.6
68;2:11:45.3
71;2:12:37.2
50;2:13:28.5
53;2:14:05.7
107;2:14:35.0
69;2:14:36.7
60;2:14:46.7
61;2:14:53.8
81;2:14:54.6
59;2:15:02.6
98;2:15:43.6
47;2:16:32.5
106;2:17:32.1
64;2:18:08.5
91;2:18:08.9
100;2:18:26.7
89;2:19:06.7
441;2:19:13.8
92;2:20:01.1
65;2:20:34.6
62;2:20:46.6
70;2:20:49.8
96;2:20:50.2
75;2:22:26.4
97;2:22:43.4
77;2:23:10.9
104;2:23:16.6
88;2:24:39.4
467;2:24:42.9
604;2:25:09.8
76;2:25:45.5
548;2:26:19.8
73;2:26:31.5
102;2:26:37.6
83;2:26:52.9
84;2:26:54.2
133;2:27:22.2
78;2:27:26.8
131;2:28:35.7
90;2:28:53.4
402;2:29:16.7
596;2:29:20.3
390;2:29:25.9
130;2:29:26.8
538;2:30:20.1
147;2:31:06.9
625;2:31:40.8
334;2:31:52.7
577;2:32:01.8
142;2:32:07.0
143;2:32:08.1
134;2:32:09.1
401;2:32:28.1
4723;2:32:29.0
101;2:32:30.6
1862;2:32:35.7
378;2:32:54.6
192;2:33:13.5
609;2:33:21.1
94;2:33:24.0
598;2:33:40.3
568;2:33:56.6
640;2:34:01.6
194;2:34:02.6
4829;2:34:04.8
531;2:34:07.1
489;2:35:14.1
1252;2:35:17.3
631;2:35:20.1
151;2:35:24.1
227;2:35:31.6
326;2:35:55.0
139;2:35:58.4
435;2:36:19.6
1859;2:36:35.8
634;2:36:43.1
248;2:36:44.7
475;2:36:50.6
144;2:37:09.4
204;2:37:17.9
465;2:37:51.0
85;2:37:55.9
105;2:37:56.6
169;2:38:07.8
301;2:38:19.6
398;2:38:22.3
519;2:38:28.7
165;2:38:39.5
327;2:38:40.0
610;2:39:00.1
622;2:39:00.9
391;2:39:04.6
563;2:39:09.9
618;2:39:20.1
250;2:39:41.5
462;2:39:41.7
642;2:40:04.4
146;2:40:05.0
359;2:40:05.6
196;2:40:08.7
637;2:40:27.4
547;2:40:28.1
1447;2:40:30.3
508;2:40:35.6
82;2:40:36.5
636;2:40:47.5
5423;2:40:51.1
416;2:40:56.9
607;2:40:57.4
561;2:40:59.4
438;2:41:11.8
309;2:41:19.5
4725;2:41:19.6
507;2:41:20.9
367;2:41:21.1
173;2:41:24.8
140;2:41:32.9
649;2:41:39.1
394;2:41:39.9
307;2:41:43.9
545;2:41:46.6
564;2:41:48.1
439;2:41:59.0
80;2:42:01.0
259;2:42:09.5
86;2:42:09.9
252;2:42:21.9
530;2:42:26.0
429;2:42:26.2
1233;2:42:48.3
319;2:42:50.5
376;2:42:51.0
306;2:42:53.7
103;2:42:54.6
1861;2:43:05.3
570;2:43:07.6
572;2:43:20.0
179;2:43:27.7
215;2:43:29.3
619;2:43:29.5
162;2:43:41.3
582;2:43:46.7
592;2:43:48.0
205;2:43:56.2
620;2:43:59.8
635;2:44:02.6
153;2:44:03.8
613;2:44:10.7
478;2:44:25.2
316;2:44:32.7
191;2:44:34.1
317;2:44:34.8
217;2:44:55.9
608;2:44:58.7
175;2:45:01.8
1251;2:45:13.4
428;2:45:13.9
440;2:45:13.9
4626;2:45:14.4
408;2:45:18.6
525;2:45:18.7
614;2:45:19.3
291;2:45:19.7
363;2:45:23.1
345;2:45:23.8
268;2:45:25.9
1262;2:45:26.0
553;2:45:26.1
587;2:45:26.7
229;2:45:28.2
182;2:45:30.3
633;2:45:30.5
453;2:45:30.9
566;2:45:31.4
224;2:45:32.5
